icao,iata,name,city,country,lat,lon,airport_type
00A,,Total RF Heliport,Bensalem,US,40.070985,-74.933689,heliport
00AA,,Aero B Ranch Airport,Leoti,US,38.704022,-101.473911,small_airport
00AK,,Lowell Field,Anchor Point,US,59.947733,-151.692524,small_airport
00AL,,Epps Airpark,Harvest,US,34.86479949951172,-86.77030181884766,small_airport
00AN,,Katmai Lodge Airport,King Salmon,US,59.093287,-156.456699,small_airport
00AS,,Fulton Airport,Alex,US,34.9428028,-97.8180194,small_airport
00AZ,,Cordes Airport,Cordes,US,34.305599212646484,-112.16500091552734,small_airport
00CA,,Goldstone (GTS) Airport,Barstow,US,35.35474,-116.885329,small_airport
00CL,,Williams Ag Airport,Biggs,US,39.427188,-121.763427,small_airport
00CN,,Kitchen Creek Helibase Heliport,Pine Valley,US,32.7273736,-116.4597417,heliport
00FA,,Grass Patch Airport,Bushnell,US,28.64550018310547,-82.21900177001953,small_airport
00FL,,River Oak Airport,Okeechobee,US,27.230899810791016,-80.96920013427734,small_airport
00GA,,Lt World Airport,Lithonia,US,33.76750183105469,-84.06829833984375,small_airport
00GE,,Caffrey Heliport,Hiram,US,33.887982,-84.736983,heliport
00HI,,Kaupulehu Heliport,Kailua-Kona,US,19.832881,-155.978347,heliport
00ID,,Delta Shores Airport,Clark Fork,US,48.145301818847656,-116.21399688720703,small_airport
00IG,,Goltl Airport,McDonald,US,39.724028,-101.395994,small_airport
00IL,,Hammer Airport,Polo,US,41.978401,-89.560402,small_airport
00IN,,St Mary Medical Center Heliport,Hobart,US,41.51139831542969,-87.2605972290039,heliport
00IS,,Hayenga's Cant Find Farms Airport,Kings,US,40.02560043334961,-89.1229019165039,small_airport
00KS,,Hayden Farm Airport,Gardner,US,38.72779846191406,-94.93049621582031,small_airport
00KY,,Robbins Roost Airport,Stanford,US,37.409400939941406,-84.61969757080078,small_airport
00LA,,Shell Chemical East Site Heliport,Gonzales,US,30.191944,-90.980833,heliport
00LL,,Ac & R Components Heliport,Chatham,US,39.66529846191406,-89.70559692382812,heliport
00LS,,Lejeune Airport,Crowley,US,30.136299,-92.429398,small_airport
00MD,,Slater Field,Federalsburg,US,38.75709915161133,-75.75379943847656,small_airport
00MI,,Dow Chemical Heliport,Ludington,US,43.94940185546875,-86.41670227050781,heliport
00MN,,Battle Lake Municipal Airport,Battle Lake,US,46.29999923706055,-95.70030212402344,small_airport
00MO,,Cooper Flying Service Airport,Alba,US,37.202800750732,-94.412399291992,small_airport
00MT,,Livingston Healthcare Heliport,Livingston,US,45.675,-110.52515,heliport
00N,,Bucks Airport,Bridgeton,US,39.472998,-75.184346,small_airport
00NC,,North Raleigh Airport,Louisburg,US,36.085201263427734,-78.37139892578125,small_airport
00NJ,,Colgate-Piscataway Heliport,New Brunswick,US,40.52090072631836,-74.47460174560547,heliport
00NK,,Cliche Cove Seaplane Base,Beekmantown,US,44.8118612,-73.3698057,seaplane_base
00NR,,Rodanthe Dare County Heliport,Rodanthe,US,35.594729,-75.470002,heliport
00NY,,Weiss Airfield,West Bloomfield,US,42.89576,-77.495263,small_airport
00OI,,Miami Valley Hospital Heliport,Dayton,US,39.745091,-84.187278,heliport
00OK,,Gull Bay Landing Airport,Sandsprings,US,36.198598,-96.217693,small_airport
00OR,,Steel Systems Heliport,Salem,US,44.932899475097656,-123.12999725341797,heliport
00PA,,R J D Heliport,Coatesville,US,39.94889831542969,-75.74690246582031,heliport
00PN,,Ferrell Field,Mercer,US,41.2995,-80.211111,small_airport
00S,,McKenzie Bridge State Airport,Blue River,US,44.181466,-122.086,small_airport
00SC,,Flying O Airport,Sumter,US,34.0093994140625,-80.26719665527344,small_airport
00SD,,Homan Field,Gary,US,44.809158,-96.498897,small_airport
00TE,,Tcjc-Northeast Campus Heliport,Fort Worth,US,32.847599029541016,-97.18949890136719,heliport
00TS,,Alpine Range Airport,Everman,US,32.607601165771484,-97.24199676513672,small_airport
00TT,,Nowhere Airport,Goodlett,US,34.516606,-99.93694,small_airport
00VA,,Vaughan Airport,Alton,US,36.574964,-78.998437,small_airport
00VI,,Groundhog Mountain Airport,Hillsville,US,36.663299560546875,-80.49949645996094,small_airport
00W,,Lower Granite State Airport,Colfax,US,46.672884,-117.441933,small_airport
00WA,,Howell Airport,Longbranch,US,47.17839813232422,-122.77200317382812,small_airport
00WI,,Northern Lite Airport,Waupaca,US,44.304298400878906,-89.05010223388672,small_airport
00WN,,Hawks Run Airport,Asotin,US,46.25,-117.2490005493164,small_airport
00WV,,Lazy J. Aerodrome,Beverly,US,38.82889938354492,-79.86609649658203,small_airport
00WY,,Mountain View Regional Hospital Heliport,Casper,US,42.840361,-106.224443,heliport
00XA,,Weeski Ranch Airport,,US,30.224,-96.01417,small_airport
01A,,Purkeypile Airport,Purkeypile,US,62.940833,-152.269722,small_airport
01AK,,Providence Seward Medical Center Heliport,Seward,US,60.105873975399994,-149.446249008,heliport
01AL,,Ware Island Airport,Clanton,US,32.94599914550781,-86.51390075683594,small_airport
01AN,,McHone Heights Airport,Wasilla,US,61.649095,-149.339025,small_airport
01AR,,DeQueen Medical Center Heliport,DeQueen,US,34.047456,-94.354023,heliport
01AZ,,Yat Heliport,Camp Verde,US,34.607406,-111.8609,heliport
01CA,,SCE Lugo Substation Heliport,Hesperia,US,34.368241,-117.370059,heliport
01CL,,Swansboro Country Airport,Placerville,US,38.7999,-120.734001,small_airport
01CO,,St Vincent General Hospital Heliport,Leadville,US,39.24530029296875,-106.24600219726562,heliport
01CT,,Berlin Fairgrounds Heliport,Berlin,US,41.62730026245117,-72.72750091552734,heliport
01FA,,Rybolt Ranch Airport,Orlando,US,28.589399337768555,-81.14420318603516,small_airport
01FD,,Advent Health Altamonte Springs Heliport,Altamonte Springs,US,28.666639,-81.3697,heliport
01FL,,Cedar Knoll Flying Ranch Airport,Geneva,US,28.78190040588379,-81.1592025756836,small_airport
01GA,,Medical Center Heliport,Columbus,US,32.47930145263672,-84.9791030883789,heliport
01GE,,The Farm Airport,Wrightsville,US,32.675106,-82.771055,small_airport
01ID,,Lava Hot Springs Airport,Lava Hot Springs,US,42.6082,-112.031998,small_airport
01II,,Myers Field,Lizton,US,39.8849983215332,-86.50669860839844,small_airport
01IL,,Hoopeston Community Memorial Hospital Heliport,Hoopeston,US,40.45859909057617,-87.65950012207031,heliport
01IN,,Community Hospital Heliport,Anderson,US,40.13090133666992,-85.69580078125,heliport
01IS,,William E. Koenig Airport,Dow,US,39.01620101928711,-90.31819915771484,small_airport
01J,,Hilliard Airpark,Hilliard,US,30.685568,-81.906346,small_airport
01K,,Caldwell Municipal Airport,Caldwell,US,37.036132,-97.58533,small_airport
01KS,,Flying N Ranch Airport,Lost Springs,US,38.54059982299805,-97.00330352783203,small_airport
01KY,,Lourdes Hospital Heliport,Paducah,US,37.051700592041016,-88.64689636230469,heliport
01LA,,Barham Airport,Oak Ridge,US,32.638999938964844,-91.77369689941406,small_airport
01LL,,Schumaier Restricted Landing Area,Pinckneyville,US,38.12580108642578,-89.46389770507812,small_airport
01LS,,Country Breeze Airport,Slaughter,US,30.722478,-91.077372,small_airport
01MA,,Compaq Andover Heliport,Andover,US,42.625099182128906,-71.18009948730469,heliport
01MD,,Annapolis Seaplane Base,Annapolis,US,38.999199,-76.456001,seaplane_base
01ME,,Saint Peter's Seaplane Base,Portage Lake,US,46.778900146484375,-68.50029754638672,seaplane_base
01MI,,Flow Through Terminal Heliport,Flint,US,43.04949951171875,-83.67970275878906,heliport
01MN,,Barnes Seaplane Base,Cook,US,47.899600982666016,-92.55740356445312,seaplane_base
01MO,,Highway Patrol Troop C Headquarters Heliport,Town and Country,US,38.641700744628906,-90.48429870605469,heliport
01MT,,Crystal Lakes Resort Airport,Fortine,US,48.789100646972656,-114.87999725341797,small_airport
01MU,,NWMC - Houghton Heliport,Tucson,US,32.196747,-110.775142,heliport
01NC,,Topsail Airpark,Holly Ridge,US,34.47529983520508,-77.5813980102539,small_airport
01NH,,Moore Airfield,Canaan,US,43.6445,-72.086998,small_airport
01NJ,,Albert Guido Memorial Heliport,Newark,US,40.739956,-74.136128,heliport
01NM,,Champion Ranch Airport,Lake Arthur,US,33.008611,-104.540278,small_airport
01NR,,McGee 01 Heliport,Wilmington,US,34.196264,-77.919917,heliport
01NV,,Lantana Ranch Airport,Yerington,US,38.76390075683594,-119.0270004272461,small_airport
01NY,,Vassar Hospital Heliport,Poughkeepsie,US,41.692415,-73.93683,heliport
01OH,,Atrium Medical Center Heliport,Middletown,US,39.497455,-84.313851,heliport
01OI,,Avita Health System Galion Hospital Heliport,Galion,US,40.730267,-82.802022,heliport
01OL,,Spring Creek Ranch East Airport,Tishomingo,US,34.391667,-96.690833,small_airport
01PN,,Bierly(Personal Use) Airport,Bellefonte,US,40.930599212646484,-77.73889923095703,small_airport
01PS,,Nort's Resort Airport,Meshoppen,US,41.59590148925781,-76.02960205078125,small_airport
01SC,,York Airport,York,US,35.032100677490234,-81.25279998779297,small_airport
01TA,,Thirty Thirty Matlock Office Center Helistop,Arlington,US,32.694867,-97.115964,closed
01TE,,Smith Field,Forney,US,32.737598,-96.428001,small_airport
01TN,,Colonial Air Park,Collierville,US,34.99589920043945,-89.73059844970703,small_airport
01TT,,"Clute Fire & EMS Station #1 Heliport",Clute,US,29.012067,-95.402119,heliport
01U,,Duckwater Airport,Duckwater,US,38.849785,-115.634987,small_airport
01UT,,La Sal Junction Airport,La Sal,US,38.30830001831055,-109.39600372314453,small_airport
01VA,,Pickles Airport,Berryville,US,39.125,-77.9250030518,small_airport
01WA,,Willapa Harbor Heliport,South Bend,US,46.66320037841797,-123.81199645996094,heliport
01WI,,Prehn Cranberry Company Airport,Tomah,US,44.009328,-90.38993,closed
01WN,,Whidbey General Hospital Heliport,Coupeville,US,48.213401794433594,-122.68499755859375,heliport
01WT,,Odyssey Heliport,Renton,US,47.518178,-122.210908,heliport
01WY,,Keyhole Airport,Pine Haven,US,44.348312,-104.8106,small_airport
01XA,,Ascension Seton Hays Heliport,Kyle,US,30.007222,-97.853333,heliport
01XS,,Meadowood Ranch Heliport,Athens,US,32.020198822021484,-95.74549865722656,heliport
02AA,,Barefoot Airport,Big Lake,US,61.506147,-149.912825,small_airport
02AK,,Rustic Wilderness Airport,Willow,US,61.876907,-150.097626,small_airport
02AL,,Bass Field,Foley,US,30.37150001525879,-87.76439666748047,small_airport
02AN,,Emerald Ridge Airport,Homer,US,59.704223,-151.295869,small_airport
02CA,,Swepi Beta Platform Ellen Heliport,Huntington Beach,US,33.58250045776367,-118.12899780273438,heliport
02CD,,Shannon Field,Clarksdale,US,34.129600524902344,-90.52400207519531,small_airport
02CL,,Conover Air Lodge Airport,Frazier Park,US,34.761101,-119.058998,small_airport
02CO,,Mc Cullough Airport,Monte Vista,US,37.64329910279999,-106.04699707,small_airport
02CT,,Strangers Point Heliport,Ellington,US,41.91960144042969,-72.44450378417969,heliport
02FA,,Osborn Airfield,Groveland,US,28.526699,-81.874802,small_airport
02FD,,Triple R Ranch Airport,Baker,US,30.950976,-86.635555,small_airport
02GA,,Doug Bolton Field,Commerce,US,34.202598571777344,-83.42900085449219,small_airport
02GE,,Etowah Fields Airport,Euharlee,US,34.17530059814453,-84.92440032958984,small_airport
02HI,,K3 Helipad Heliport,Honolulu,US,21.35839,-157.94789,heliport
02IA,,Boone County Hospital Heliport,Boone,US,42.05609893798828,-93.87799835205078,heliport
02ID,,Morgan Ranch Airport,Cascade,US,44.55550003051758,-115.30500030517578,small_airport
02II,,King Ultralightport,Westfield,US,40.06230163574219,-86.21050262451172,small_airport
02IN,,Diamond P. Field,Muncie,US,40.208900451660156,-85.54080200195312,small_airport
02IS,,Condell Medical Center Heliport,Libertyville,US,42.274600982666016,-87.9572982788086,heliport
02KS,,JMJ Landing Airport,Saint Marys,US,39.221416,-96.057072,small_airport
02KT,,St Claire Healthcare Heliport,Morehead,US,38.181441,-83.443319,heliport
02KY,,Boone National Guard Heliport,Frankfort,US,38.190282,-84.906442,heliport
02LA,,Louisiana State Police Troop G Heliport,Bossier City,US,32.531491,-93.659939,heliport
02LS,,Windy Hill Heliport,Broussard,US,30.148300170898438,-91.91899871826172,heliport
02MA,,Cuttyhunk Heliport,Cuttyhunk,US,41.419601,-70.927002,heliport
02MD,,Garner Field,Brandywine,US,38.672544,-76.709739,small_airport
02ME,,Nadeau's Airfield,Acton,US,43.537467,-70.930685,small_airport
02MI,,Fairplains Airpark,Greenville,US,43.157100677490234,-85.14849853515625,small_airport
02MO,,Troy Airpark,Troy,US,39.04999923706055,-91.03350067138672,small_airport
02MS,,Watts Field,Rochdale,US,34.095701,-90.846131,small_airport
02NE,,Benes Service Airport,Valparaiso,US,41.074501037597656,-96.90450286865234,small_airport
02NH,,Iroquois Landing Seaplane Base,Dummer,US,44.657100677490234,-71.21910095214844,seaplane_base
02NJ,,Penske Heliport,Piscataway,US,40.55730056762695,-74.46710205078125,heliport
02NM,,FFR Animas Landing Strip,Animas,US,32.09071,-108.870735,small_airport
02NR,,McGee 02 Heliport,Greenville,US,35.592197,-77.377372,heliport
02NV,,Paiute Meadows Airport,Winnemucca,US,41.299551,-118.926709,small_airport
02NY,,Hansen Heliport,Durhamville,US,43.132598876953125,-75.65550231933594,heliport
02OH,,Zimmerman Airport,Fremont,US,41.376399993896484,-83.08329772949219,small_airport
02OI,,Murtha Airport,Conneaut,US,41.801998138427734,-80.56539916992188,small_airport
02OL,,War Veterans Colony Heliport,Wilburton,US,34.811412,-95.307727,heliport
02OR,,Rowena Dell Airport,The Dalles,US,45.68149948120117,-121.31600189208984,small_airport
02P,,Stottle Memorial Heliport,Honey Grove,US,40.403596,-77.556602,heliport
02PA,,Lag III Heliport,Monroeville,US,40.438301,-79.769997,heliport
02PN,,Peco Berwyn Heliport,Berwyn,US,40.06959915161133,-75.4552001953125,heliport
02PR,,Cuylers Airport,Vega Baja,PR,18.464924,-66.363773,small_airport
02RI,,Miramar Residence Heliport,Newport,US,41.457931,-71.304886,heliport
02SC,,Harpers Airport,Estill,US,32.760211,-81.225872,small_airport
02T,,Wise River Airport,Wise River,US,45.769100189208984,-112.98200225830078,small_airport
02TA,,Matagorda Shore Facility Heliport,Matagorda,US,28.722177,-95.875813,heliport
02TE,,Baylor Medical Center Heliport,Waxahachie,US,32.39540100097656,-96.86419677734375,heliport
02TN,,Ellis Field,Rockvale,US,35.780355,-86.585521,small_airport
02UT,,Lucin Airport,Lucin,US,41.369336,-113.841019,small_airport
02VA,,The Greenhouse Airport,Culpeper,US,38.435699462890625,-77.8572006225586,small_airport
02VG,,Northstar Aviation Heliport,Bristol,US,36.63880157470703,-82.11669921875,heliport
02WA,,Cawleys South Prairie Airport,South Prairie,US,47.15230178833008,-122.09400177001953,small_airport
02WI,,Beer Airport,Hudson,US,45.031898498535156,-92.65579986572266,small_airport
02WN,,Fowler Field,Tonasket,US,48.74580001831055,-119.31900024414062,small_airport
02XA,,JLS Farms Airport,Honey Grove,US,33.591319,-95.882864,small_airport
03AA,,Trapper T Heliport,Palmer,US,61.556055,-149.284527,heliport
03AK,,Joe Clouds Seaplane Base,Kenai,US,60.72722244262695,-151.13278198242188,seaplane_base
03AL,,Highland Medical Center Heliport,Scottsboro,US,34.662604,-86.046774,heliport
03AR,,Hscmh Heliport,Malvern,US,34.357601165771484,-92.78849792480469,heliport
03AZ,,Thompson International Aviation Airport,Hereford,US,31.430971,-110.088087,small_airport
03CA,,Grossmont Hospital Heliport,La Mesa,US,32.779484,-117.006952,heliport
03FA,,Lake Persimmon Airstrip,Lake Placid,US,27.353099822998047,-81.40809631347656,small_airport
03FL,,Ranger Heliport,West Palm Beach,US,26.683716,-80.186561,closed
03GA,,HIA Airport,Statesboro,US,32.561626,-81.85509,small_airport
03GE,,NGMC Lumpkin Hospital Heliport,Dahlonega,US,34.523153,-83.975058,heliport
03ID,,Flying Y Ranch Airport,Council,US,44.793965,-116.531543,small_airport
03II,,Davis Field Ultralightport,Mount Vernon,US,37.9620018005,-87.7789001465,small_airport
03IL,,Wix Airport,Monee,US,41.40230178833008,-87.81670379638672,small_airport
03IN,,Heinzman Airport,Arcadia,US,40.18000030517578,-86.01249694824219,small_airport
03IS,,OSF St Anthony's Health Center Heliport,Alton,US,38.904999,-90.173401,heliport
03KS,,Valley Grain Heliport,Highland,US,39.86470031738281,-95.26409912109375,heliport
03KY,,Flying H Farms Airport,Henderson,US,37.796085,-87.53859,small_airport
03LA,,Damien Heliport,Carville,US,30.199600219726562,-91.12789916992188,heliport
03LS,,Fmc Nr 1 Heliport,Winnsboro,US,32.159000396728516,-91.70800018310547,heliport
03M,,Lakeside Lodge and Marina Seaplane Base,East Winthrop,US,44.3209,-69.889503,seaplane_base
03MA,,Hadley Airport,Hadley,US,42.393431,-72.551553,small_airport
03MD,,Upper Chesapeake Medical Center Heliport,Bel Air,US,39.518427,-76.346022,heliport
03ME,,Maple Ridge Airport,Harrison,US,44.084251,-70.626905,small_airport
03MI,,Harold Miller Heliport,Bay City,US,43.550899505615234,-83.86219787597656,heliport
03MN,,Nauerth Land Ranch Airport,Lakefield,US,43.62519836425781,-95.22470092773438,small_airport
03MS,,Vicksburg Medical Center Heliport,Vicksburg,US,32.31880187988281,-90.8832015991211,heliport
03MT,,Cascade Field,Cascade,US,47.267327,-111.71748,small_airport
03MU,,McDonnell Airport,Archie,US,38.4925,-94.412498,small_airport
03N,UTK,Utirik Airport,Utirik Island,MH,11.222219,169.851429,small_airport
03NC,,Pilots Ridge Airport,Carolina Beach,US,34.104236,-77.905855,small_airport
03ND,,Olafson Brothers Airport,Edinburg,US,48.626399993896484,-97.8290023803711,small_airport
03NE,,Hyde Ranch Airport,Comstock,US,41.5463981628418,-99.3311996459961,small_airport
03NH,,Lorden Heliport,Milford,US,42.815399169921875,-71.12439727783203,heliport
03NM,,Miner's Colfax Medical Center Heliport,Raton,US,36.862377,-104.442853,heliport
03NR,,Johnston Medical Center Heliport,Clayton,US,35.63027,-78.50392,heliport
03NV,,Llama Ranch Airport,Ruby Valley,US,40.58440017700195,-115.2979965209961,small_airport
03NY,,Talmage Field,Riverhead,US,40.958308,-72.717326,small_airport
03OH,,Gibbs Field,Fremont,US,41.416933,-83.018339,small_airport
03OI,,"Cleveland Clinic, Marymount Hospital Heliport",Garfield Heights,US,41.420312,-81.599552,heliport
03OK,,Sahoma Lake Airport,Sapulpa,US,36.041259,-96.161517,small_airport
03OL,,Bluebird Airport,Alex,US,35.012334,-97.702735,small_airport
03OR,,Powwatka Ridge Airport,Troy,US,45.85540008544922,-117.48400115966797,small_airport
03PA,,Collegeville Heliport,Collegeville,US,40.162899017333984,-75.4656982421875,heliport
03PN,,M.P. Metals Heliport,Berwick,US,41.066861,-76.180806,heliport
03PR,,Sun View Field Airport,Bonner Springs,US,39.065931,-94.938417,small_airport
03S,,Sandy River Airport,Sandy,US,45.401629,-122.228771,small_airport
03SC,,Seacoast Medical Center Heliport,Little River,US,33.8650016784668,-78.66190338134766,heliport
03TE,,Barronena Ranch Airport,Hebbronville,US,27.490812,-98.669615,small_airport
03TN,,Eagles Landing Heliport,Sevierville,US,35.92250061035156,-83.57939910888672,heliport
03TS,,Shannon Medical Center Heliport,San Angelo,US,31.4658,-100.43397,heliport
03TT,,Brazos Polo Airport,Orchard,US,29.632117,-95.932481,small_airport
03TX,,M D K Field Heliport,Pearland,US,29.580929,-95.30508,heliport
03UT,,AZ Minerals Corporation Airport,Mexican Hat,US,37.114384,-109.99014,small_airport
03WA,,Spangle Field,Spangle,US,47.408199310302734,-117.37200164794922,small_airport
03WN,,Aerostone Ranch Airport,Goldendale,US,45.875,-120.66999816894531,small_airport
03WT,,Lopez Medical Clinic Heliport,Lopez Island,US,48.524894,-122.912394,heliport
03WY,,Perala Field,Sundance,US,44.367943,-104.510586,small_airport
03XA,,Del Sol Medical Center Heliport,El Paso,US,31.7574,-106.346895,heliport
03XS,,Creekside Airport,Mertzon,US,31.318099975585938,-100.75399780273438,small_airport
04AA,,Flying W Ranch Airport,Soldotna,US,60.535833,-150.811387,small_airport
04AL,,Anniston AHP (Anniston Army Depot),Anniston,US,33.62639999,-85.96720123,heliport
04AN,,North 40 Airport,Sutton,US,61.737511,-148.700724,small_airport
04AR,,Saline Memorial Hospital Heliport,Benton,US,34.574319,-92.586047,heliport
04CA,,Gray Butte Field,Palmdale,US,34.566631,-117.670666,small_airport
04CL,,Hunt's Sky Ranch Airport,Julian,US,33.08169937133789,-116.44100189208984,small_airport
04CT,,Shingle Mill Heliport,Harwinton,US,41.75510025024414,-73.05239868164062,heliport
04FA,,Richards Field,Homestead,US,25.558700561523438,-80.51509857177734,small_airport
04FD,,Tampa General Hospital Brandon Healthplex Heliport,Brandon,US,27.929372,-82.336981,heliport
04FL,,Cross Creek Farms Airport,Ormond Beach,US,29.240353,-81.222525,small_airport
04GA,,Verge Towers Heliport,Monroe,US,33.832365,-83.562335,heliport
04I,,Columbus Southwest Airport,Columbus,US,39.91151,-83.188577,small_airport
04IA,,Middlekoop Airport,Packwood,US,41.08829879760742,-92.05460357666016,small_airport
04ID,,Lanham Field,Emmett,US,43.877015,-116.538365,small_airport
04IL,,Schertz Aerial Service - Hudson Airport,Hudson,US,40.6375007629,-89.0070037842,small_airport
04IN,,Lake Gage Seaplane Base,Angola,US,41.701389,-85.113056,seaplane_base
04IS,,Van Gorder Airport,Mansfield,US,40.1786003112793,-88.56900024414062,small_airport
04KY,,Natchez Trace Farm Airport,Hiseville,US,37.135101318359375,-85.78939819335938,small_airport
04LA,,Saint James Parish Hospital Heliport,Lutcher,US,30.051001,-90.703848,heliport
04LS,,La National Guard Heliport,Baton Rouge,US,30.44610023498535,-91.10530090332031,heliport
04MA,,Goddard Field,Haverhill,US,42.810908,-71.140959,small_airport
04MD,,Chesapeake City Heliport,Chesapeake City,US,39.51810073852539,-75.82140350341797,heliport
04ME,,Beech Hill Airport,Mercer,US,44.66669845581055,-69.8938980102539,small_airport
04MI,,Rapids Airway Airport,Eaton Rapids,US,42.53450012207031,-84.62830352783203,small_airport
04MN,,Helblad Airport,Kelliher,US,47.985801696777344,-94.68689727783203,small_airport
04MS,,Nick's Flying Service Inc Airport,Rolling Fork,US,32.940537,-90.836683,small_airport
04MT,,Pluhar Airport,Cohagen,US,47.13749777779999,-106.488095,small_airport
04NC,,Western Wake Medical Center Heliport,Cary,US,35.739200592,-78.7822036743,heliport
04NE,,Mc Connell Field Airport,Sarben,US,41.159999847399995,-101.299003601,small_airport
04NJ,,Emmanuel Airport,Elmer,US,39.596801757799994,-75.2334976196,small_airport
04NR,,McGee 04 Heliport,Jacksonville,US,34.775671,-77.392244,heliport
04NV,,Kingston Ranch Airport,Sandy Valley,US,35.7555007935,-115.665000916,small_airport
04NY,,Klaverack Airport,Hudson,US,42.262298584,-73.6961975098,small_airport
04OG,,Teufel Heliport,Forest Grove,US,45.530833,-123.085556,heliport
04OK,,Stillwater Medical Center Heliport,Stillwater,US,36.1152992249,-97.079498291,heliport
04OR,,Collins Landing Strip,Mitchell,US,44.7499008179,-120.200996399,small_airport
04PA,,S & C Distribution Center Heliport,Philadelphia,US,39.87929916379999,-75.2287979126,heliport
04PN,,Strawbridge & Clothier Exton Heliport,Exton,US,40.0306619,-75.63021,heliport
04SC,,Emergency Helipad,Easley,US,34.842188,-82.60714,heliport
04SD,,Cheyenne River Health Center Heliport,Eagle Butte,US,44.993013,-101.24311,heliport
04TE,,Veterans Affairs Medical Center Heliport,Houston,US,29.699687,-95.39069,heliport
04TN,,Hensley Airpark,Chuckey,US,36.183300018299995,-82.67890167239999,small_airport
04TS,,Hummingbird Heliport,Round Rock,US,30.553284,-97.605358,heliport
04TT,,4D Ranch Airport,Utopia,US,29.713072,-99.545642,small_airport
04TX,,Pocock Airport,China Spring,US,31.732779,-97.369326,small_airport
04UT,,Navajo Mountain Airport,Navajo Mountain,US,37.006689,-110.794701,small_airport
04V,,Saguache Municipal Airport,Saguache,US,38.099083,-106.174389,small_airport
04VA,,Russell County Medical Center Heliport,Lebanon,US,36.898246,-82.078477,heliport
04VG,,Manquin Flight Park Ultralightport,Manquin,US,37.706546,-77.201621,small_airport
04VT,,Lightning Bolt Field Airport,Cabot,US,44.4011001587,-72.26360321039999,small_airport
04W,,Field of Dreams Airport,Hinckley,US,46.0228,-92.895401,small_airport
04WA,,Ox Meadows Airport,Spokane,US,47.581795,-117.437131,small_airport
04WI,,Dutch Gap Airstrip,Bristol,US,42.523399353,-88.0167007446,small_airport
04WN,,Stillwater Creek Airport,Royal City,US,46.95835,-119.63864,small_airport
04WV,,"West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport",Morgantown,US,39.6536111111,-79.9561111111,heliport
04XA,,Pecan Field,Jermyn,US,33.283933,-98.402861,small_airport
05AK,,Wasilla Creek Airpark,Palmer,US,61.66830063,-149.1880035,small_airport
05AL,,Allen Stagefield Army Heliport,Fort Rucker/Wicksburg,US,31.2311992645,-85.64969635010002,heliport
05AN,,Wetons Aerodrome,Fox,US,64.960472,-147.601092,small_airport
05AR,,Ozark Skies Airpark,Kingston,US,36.000633,-93.57025,small_airport
05AZ,,Yuma Regional Medical Center Heliport,Yuma,US,32.683452,-114.634346,heliport
05B,,Van Buren Seaplane Base,Van Buren,US,47.158901,-67.931999,seaplane_base
05CA,,Lost Hills Sheriff's Station Heliport,Calabasas,US,34.136516,-118.714685,heliport
05CL,,Pope Valley Airport,Pope Valley,US,38.6106987,-122.39099884,small_airport
05CO,,Rancho de Aereo Airport,Mead,US,40.214984,-104.984423,small_airport
05CT,,O And G Heliport,Torrington,US,41.7737007141,-73.1162033081,heliport
05FA,,Melanie's Airport,Florala,US,30.918899536132812,-86.21829986572266,small_airport
05FD,,Aventura Heliport,North Miami Beach,US,25.960899353027344,-80.13919830322266,heliport
05FL,,Charlton Strip,La Belle,US,26.52018,-81.41031,small_airport
05GA,,Raju Airport,Richland,US,32.0713996887207,-84.71440124511719,small_airport
05IA,,Spotts Field,Nora Springs,US,43.13750076293945,-93.06829833984375,small_airport
05ID,,Running Creek Ranch Airport,Elk City,US,45.914101,-114.835999,small_airport
05IL,,Classic Landings Airport,Bonfield,US,41.156700134277344,-88.0167007446289,small_airport
05IN,,Cooper Airport,Belleville,US,39.641998291015625,-86.50420379638672,small_airport
05IS,,Hardy Airport,Mount Auburn,US,39.72589874267578,-89.26399993896484,small_airport
05KS,,Darbro Field,Elk City,US,37.26620101928711,-95.95919799804688,small_airport
05KT,,High Point Farm Airport,Frankfort,US,38.187091,-84.93011,small_airport
05KY,,Cartersville Airport,Paint Lick,US,37.53575,-84.407303,small_airport
05LA,,Greg's Flying Service Airport,Winnsboro,US,32.265301,-91.6978,small_airport
05LL,,Midwest Heliport,Willowbrook,US,41.749228,-87.935783,heliport
05LS,,Grass Roots Airport,Alexandria,US,31.252148,-92.47569,small_airport
05M,,Pauls Valley General Hospital Heliport,Pauls Valley,US,34.71979,-97.214237,heliport
05MA,,Bentley Heliport,Ipswich,US,42.691200256347656,-70.91230010986328,heliport
05MD,,Breezecroft Airport,Chestertown,US,39.244232,-76.198661,small_airport
05ME,,Drisko Airport,Jonesboro,US,44.65700149536133,-67.55919647216797,small_airport
05MI,,Beaumont Hospital Taylor Heliport,Taylor,US,42.236433,-83.276421,heliport
05MN,,Northern Pines Medical Center Heliport,Aurora,US,47.5175001,-92.2302778,heliport
05MS,,VA Medical Center Jackson Heliport,Jackson,US,32.32973,-90.16273,heliport
05MT,,Jones Landing Airport,Belgrade,US,45.815368,-111.152163,small_airport
05NE,,Mc Kay Airport,Spalding,US,41.7221984863,-98.3089981079,small_airport
05NH,,Stumpfield Heliport,Kensington,US,42.92390060424805,-70.95140075683594,heliport
